"1k-blocks","filesystem","date","hour","mean_usage"
154696528,"/dev/sdb",2018-09-06 20:00:00,20,10.0718899185622
154696528,"/dev/sdb",2018-09-06 21:00:00,21,9.73188610093036
154696528,"/dev/sdb",2018-09-06 22:00:00,22,10.0918051253168
154696528,"/dev/sdb",2018-09-06 23:00:00,23,11.0014080540693
154696528,"/dev/sdb",2018-09-07 00:00:00,0,10.8600846262341
154696528,"/dev/sdb",2018-09-07 01:00:00,1,11.7772458462405
154696528,"/dev/sdb",2018-09-07 02:00:00,2,11.9441496788607
154696528,"/dev/sdb",2018-09-07 03:00:00,3,14.5090706112196
154696528,"/dev/sdb",2018-09-07 04:00:00,4,14.8981300586101
154696528,"/dev/sdb",2018-09-07 05:00:00,5,15.0407366071429
154696528,"/dev/sdb",2018-09-07 06:00:00,6,15.3600334914876
154696528,"/dev/sdb",2018-09-07 07:00:00,7,15
154696528,"/dev/sdb",2018-09-07 08:00:00,8,15
154696528,"/dev/sdb",2018-09-07 09:00:00,9,14.4439486893475
154696528,"/dev/sdb",2018-09-07 10:00:00,10,14
154696528,"/dev/sdb",2018-09-07 11:00:00,11,11.9439486893475
154696528,"/dev/sdb",2018-09-07 12:00:00,12,12
154696528,"/dev/sdb",2018-09-07 13:00:00,13,12
154696528,"/dev/sdb",2018-09-07 14:00:00,14,12
154696528,"/dev/sdb",2018-09-07 15:00:00,15,12
154696528,"/dev/sdb",2018-09-07 16:00:00,16,12
154696528,"/dev/sdb",2018-09-07 17:00:00,17,12
154696528,"/dev/sdb",2018-09-07 18:00:00,18,12
154696528,"/dev/sdb",2018-09-07 19:00:00,19,12.2401003904071
154696528,"/dev/sdb",2018-09-07 20:00:00,20,13
154696528,"/dev/sdb",2018-09-07 21:00:00,21,13
154696528,"/dev/sdb",2018-09-07 22:00:00,22,10.1271611823759
154696528,"/dev/sdb",2018-09-07 23:00:00,23,10
154696528,"/dev/sdb",2018-09-08 00:00:00,0,10
154696528,"/dev/sdb",2018-09-08 01:00:00,1,10
154696528,"/dev/sdb",2018-09-08 02:00:00,2,10
154696528,"/dev/sdb",2018-09-08 03:00:00,3,10
154696528,"/dev/sdb",2018-09-08 04:00:00,4,10.319018404908
154696528,"/dev/sdb",2018-09-08 05:00:00,5,10.0192361304711
154696528,"/dev/sdb",2018-09-08 06:00:00,6,10
154696528,"/dev/sdb",2018-09-08 07:00:00,7,10
154696528,"/dev/sdb",2018-09-08 08:00:00,8,9.52844394868935
154696528,"/dev/sdb",2018-09-08 09:00:00,9,9
154696528,"/dev/sdb",2018-09-08 10:00:00,10,9.7303402119353
